---------------------------
|Data statistics|Number of|
|-------------------------|
|Records passed |    1,848|
---------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SOrg.|Ship-To Pt|Purchase order no.  |Sales Doc |Created on|Delivery  |Item      |Material          |Dlvy Qty  |DlvTy|Deliv.Date|OvCS|Name 1                             |Name 2                                  |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000390    |661-4385          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000290    |661-4238          |5.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000300    |661-4260          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000310    |661-4279          |5.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000320    |661-4282          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000330    |661-4285          |14.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000340    |661-4287          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000350    |661-4288          |5.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000360    |661-4307          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000370    |661-4326          |10.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000380    |661-4342          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
